"","NUTS_ID","Kod_GUS","Nazwa","Rok","TFR","ludnosc_ogolem_ogÛ≥em","ludnosc_ogolem_wiek_rozrodczy","ludnosc_ogolem_wiek_produkcyjny","ludnosc_kobiety_ogÛ≥em","ludnosc_kobiety_wiek_rozrodczy","ludnosc_kobiety_wiek_produkcyjny","ludnosc_mezczyzni_ogÛ≥em","ludnosc_mezczyzni_wiek_rozrodczy","ludnosc_mezczyzni_wiek_produkcyjny","bezrobotni_ogÛ≥em","bezrobotni_mÍøczyüni","bezrobotni_kobiety","wynagrodzenia","cena_mieszkan_metr_mediana","cena_mieszkan_metr_srednia","mieszkania_oddane","mieszkania_przecietna_powierzchnia","mieszkania_izby","mieszkania_nowe","rozwody","rozwody_na_10_tys","separacje","separacje_na_10_tys","swiadczenia_500_plus","swiadczenia_spoleczne","wspolczynnik_feminizacji","zlobki","malzenstwa_zawarte","ludnosc_na_1km2","gestosc_zaludnienia_pow_zabudowana","zmiana_liczby_ludnosci","ludnosc_tys","ludnosc_tys_mezczyzni","ludnosc_tys_kobiety","praca_ogolem_ogÛ≥em","praca_ogolem_mÍøczyüni","praca_ogolem_kobiety","praca_rolnictwo_ogÛ≥em","praca_rolnictwo_mÍøczyüni","praca_rolnictwo_kobiety","praca_przemysl_na_10_tys_ogÛ≥em","praca_przemysl_na_10_tys_mÍøczyüni","praca_przemysl_na_10_tys_kobiety","praca_handel_ogÛ≥em","praca_handel_mÍøczyüni","praca_handel_kobiety","praca_finanse_ogÛ≥em","praca_finanse_mÍøczyüni","praca_finanse_kobiety","praca_pozostale_na_10_tys_ogÛ≥em","praca_pozostale_na_10_tys_mÍøczyüni","praca_pozostale_na_10_tys_kobiety","zgony_kobiety","zgony_mezczyzni","zgony_ogolem","dochody_ogolem","dochody_wlasne","dochody_podatki","dochody_podatki_osoby_fizyczne","dochody_podatki_osoby_prawne","dochody_podatki_pozostale","swiadczenia_ogolem"
"1","PL214","011212000000","PODREGION KRAKOWSKI",2012,1.371,703223,357539,452889,358077,176121,223580,345146,181418,229309,30195,14959,15236,3297.54,4147,4024,4.3,141.8,5.5,3.8,913,13,36,0.51,NA,146853,104,NA,5.5,173,3380,7.5,703.22,345.15,358.08,176709,86374,90335,72527,34777,37750,41194,28815,12379,26606,13323,13283,1786,364,1422,34596,9095,25501,2979,3457,6436,2972.18,1341.62,NA,506.99,29.75,413.49,NA
"2","PL214","011212000000","PODREGION KRAKOWSKI",2013,1.343,707788,358386,452924,360197,176544,223655,347591,181842,229269,30427,15234,15193,3436.01,4076,3992,4.2,144.8,5.6,3.8,756,10.7,30,0.43,NA,139101,104,NA,4.9,175,3292,6.5,707.79,347.59,360.2,180914,88364,92550,72509,34759,37750,42094,29447,12647,28694,14334,14360,1733,390,1343,35884,9434,26450,3105,3267,6372,3019.56,1424.08,NA,545.7,29.71,436.3,NA
"3","PL214","011212000000","PODREGION KRAKOWSKI",2014,1.367,711862,358352,452097,362188,176780,223533,349674,181572,228564,24460,12063,12397,3552.25,4290,4172,4.4,138.6,5.5,3.7,847,11.9,24,0.34,NA,126463,104,24,5.1,176,3198,5.8,711.86,349.67,362.19,184871,90162,94709,72540,34764,37776,43673,30297,13376,30931,15393,15538,1803,422,1381,35924,9286,26638,3045,3165,6210,3267.28,1591.46,NA,587.78,28.12,467.87,NA
"4","PL214","011212000000","PODREGION KRAKOWSKI",2015,1.377,715768,358831,451353,364025,177010,223240,351743,181821,228113,19581,9392,10189,3775.55,4303,4200,4.2,142.9,5.6,4,960,13.5,29,0.41,NA,134281,103,28,5.1,177,NA,5.5,715.77,351.74,364.03,189341,92945,96396,72526,34727,37799,45781,31672,14109,32812,16669,16143,1846,433,1413,36376,9444,26932,3284,3503,6787,3391.95,1622.63,NA,653.33,30.76,480.75,NA
"5","PL214","011212000000","PODREGION KRAKOWSKI",2016,1.439,720389,359305,450730,366456,177331,223142,353933,181974,227588,16405,7816,8589,4009.95,4294,4164,4.2,140.9,5.5,3.9,935,13,25,0.35,NA,166160,104,41,5.2,178,NA,6.5,720.39,353.93,366.46,196519,97914,98605,72427,34709,37718,50183,34963,15220,33788,17606,16182,1932,492,1440,38189,10144,28045,3130,3346,6476,3912.63,1691.23,NA,720.16,35.76,506.62,NA
"6","PL214","011212000000","PODREGION KRAKOWSKI",2017,1.515,725448,359560,449723,369053,177482,222818,356395,182078,226905,13281,6097,7184,4293.01,4509,4324,4.9,134.3,5.4,4.2,885,12.2,29,0.4,520262738,176185,104,49,5,179,NA,7,725.45,356.4,369.05,204689,101246,103443,72354,34672,37682,52501,36182,16319,38508,19545,18963,1860,445,1415,39466,10402,29064,3223,3492,6715,4244.85,1827.74,NA,811.76,38.04,527.83,520438923
"7","PL214","011212000000","PODREGION KRAKOWSKI",2018,1.521,730425,359414,448239,371499,177491,222175,358926,181923,226064,11999,5414,6585,4622.58,4572,4491,4.8,135.2,5.4,4.3,890,12.2,22,0.3,508574475,179256,104,71,5.2,180,NA,6.9,730.43,358.93,371.5,205015,102091,102924,72481,34718,37763,54807,37715,17092,36500,19524,16976,1906,482,1424,39321,9652,29669,3140,3484,6624,4620.51,1977.04,NA,944.46,42.13,547.09,508753731
"8","PL214","011212000000","PODREGION KRAKOWSKI",2019,1.465,734873,358972,447007,373812,177291,221600,361061,181681,225407,9871,4469,5402,4907.62,4894,4783,4.8,134.9,5.3,4.3,934,12.8,21,0.29,695132264,179345,104,94,5,181,NA,6.1,734.87,361.06,373.81,208063,103598,104465,72379,34665,37714,55612,38305,17307,38217,20538,17679,1799,456,1343,40056,9634,30422,3197,3533,6730,5351.57,2260.2,NA,1069.64,45.5,582.12,695311609
"9","PL214","011212000000","PODREGION KRAKOWSKI",2020,1.498,760617,365470,455629,386327,180243,225557,374290,185227,230072,14412,6848,7564,5190.51,5367,5249,5.4,121.5,4.9,4.1,645,8.5,15,0.2,904616151,180536,103,102,3.7,188,NA,35,760.62,374.29,386.33,170387,87161,83226,30629,15888,14741,57083,39274,17809,40799,21722,19077,1697,445,1252,40179,9832,30347,3800,4299,8099,5925.11,2585.44,NA,1032.26,41.95,598.99,904796687
"10","PL214","011212000000","PODREGION KRAKOWSKI",2021,1.433,764372,365689,456392,388302,180300,225898,376070,185389,230494,12430,6052,6378,5321.38,5834,5743,6.5,128.8,5,5.3,655,8.6,5,0.07,913470826,179639,103,134,4.2,189,NA,4.9,764.37,376.07,388.3,172336,88160,84176,30600,15867,14733,59582,40598,18984,40525,21785,18740,1529,388,1141,40100,9522,30578,3839,4341,8180,6554.74,2689.21,NA,1178.3,54.35,679.41,913650465
